session_code;id_in_session;participant_code;channel;nickname;body;timestamp;player_color
ln6s1ftc;77;04u70zp4;13-bargaining_tdl_main-75_2_3;RightPartner;vogliamo dividere a metà?;17.792.717.729.209.300;
ln6s1ftc;77;04u70zp4;13-bargaining_tdl_main-75_2_3;RightPartner;ok;17.792.718.317.919.400;
ln6s1ftc;77;04u70zp4;13-bargaining_tdl_main-75_1_3;LeftPartner;ok;1.779.271.844.364.430;
ln6s1ftc;77;04u70zp4;13-bargaining_tdl_main-75_2_3;RightPartner;ok;17.792.718.643.611.100;
ln6s1ftc;17;1635k3od;13-bargaining_tdl_main-75_1_2;LeftPartner;ok;17.792.717.991.100.300;
ln6s1ftc;17;1635k3od;13-bargaining_tdl_main-75_1_3;RightPartner;dividiamo in parti uguali?;17.792.718.291.661.900;
ln6s1ftc;17;1635k3od;13-bargaining_tdl_main-75_1_2;LeftPartner;dividiamo in parti uguali;17.792.718.377.796.900;
ln6s1ftc;43;1iernbcq;13-bargaining_tdl_main-67_1_3;LeftPartner;a questo punto sì;17.792.718.581.488.100;
ln6s1ftc;26;2d8kclta;13-bargaining_tdl_main-80_1_2;RightPartner;desidero dividere in parti uguali con te e il blu;17.792.717.542.793.900;
ln6s1ftc;26;2d8kclta;13-bargaining_tdl_main-80_2_3;LeftPartner;desidero dividere in parti uguali con te e il rosso;17.792.717.560.090.500;
ln6s1ftc;26;2d8kclta;13-bargaining_tdl_main-80_1_2;RightPartner;vorrei dividere solo con te perché il blu ha abbandonato;17.792.718.624.631.600;
ln6s1ftc;26;2d8kclta;13-bargaining_tdl_main-80_1_2;RightPartner;ottimo, va benissimo;17.792.718.922.531.700;
ln6s1ftc;26;2d8kclta;13-bargaining_tdl_main-80_1_2;RightPartner;allora dobbiamo cliccare su next?;1.779.271.958.424.540;
ocnkhj5c;4;2h0fz66r;10-bargaining_tdl_main-42_2_3;RightPartner;ma che dici?;17.791.938.520.551.800;
ocnkhj5c;4;2h0fz66r;10-bargaining_tdl_main-42_1_3;LeftPartner;Manco io;17.791.938.631.504.700;
ocnkhj5c;4;2h0fz66r;10-bargaining_tdl_main-42_2_3;RightPartner;Dividiamo;17.791.938.772.011.000;
ln6s1ftc;67;2s9nar7d;13-bargaining_tdl_main-68_2_3;RightPartner;salve io sono. per condivider;17.792.716.957.488.300;
ln6s1ftc;67;2s9nar7d;13-bargaining_tdl_main-68_1_3;LeftPartner;si;17.792.717.022.875.300;
ln6s1ftc;67;2s9nar7d;13-bargaining_tdl_main-68_2_3;RightPartner;io sono per dividere equamente;17.792.717.220.007.200;
ln6s1ftc;67;2s9nar7d;13-bargaining_tdl_main-68_1_3;LeftPartner;si;17.792.717.552.025.100;
ln6s1ftc;6;3yhfj8m6;13-bargaining_tdl_main-80_1_2;LeftPartner;anche io;17.792.717.934.680.100;
ln6s1ftc;6;3yhfj8m6;13-bargaining_tdl_main-80_1_2;LeftPartner;penso che il blu abbia lasciato. quindi dividiamo noi;17.792.718.777.183.200;
ln6s1ftc;6;3yhfj8m6;13-bargaining_tdl_main-80_1_2;LeftPartner;procediamo;17.792.719.020.178.500;
yd5nzig1;12;4uvdbn2v;36-bargaining_tdl_main-134_1_2;RightPartner;hello mate;17.794.392.136.203.900;
yd5nzig1;12;4uvdbn2v;36-bargaining_tdl_main-134_1_2;RightPartner;what do you want to do;1.779.439.222.109.730;
yd5nzig1;12;4uvdbn2v;36-bargaining_tdl_main-134_2_3;LeftPartner;hello, i would like to split in two;17.794.392.505.249.800;
yd5nzig1;12;4uvdbn2v;36-bargaining_tdl_main-134_2_3;LeftPartner;6 to me and 6 to you;17.794.392.582.626.400;
yd5nzig1;12;4uvdbn2v;36-bargaining_tdl_main-134_1_2;RightPartner;sure;177.943.929.780.566;
yd5nzig1;12;4uvdbn2v;36-bargaining_tdl_main-134_2_3;LeftPartner;of course;1.779.439.336.049.820;
yd5nzig1;12;4uvdbn2v;36-bargaining_tdl_main-134_2_3;LeftPartner;do you prefear to split in 3 parts?;1.779.439.352.670.100;
yd5nzig1;12;4uvdbn2v;36-bargaining_tdl_main-134_2_3;LeftPartner;oh what do you do;17.794.393.894.296.800;
yd5nzig1;12;4uvdbn2v;36-bargaining_tdl_main-134_2_3;LeftPartner;are you lefting the chat;17.794.393.948.898.000;
yd5nzig1;12;4uvdbn2v;36-bargaining_tdl_main-134_1_2;RightPartner;i think that blue wants to exclude you;17.794.394.182.327.500;
yd5nzig1;12;4uvdbn2v;36-bargaining_tdl_main-134_1_2;RightPartner;let's go punish him;17.794.394.649.298.300;
yd5nzig1;12;4uvdbn2v;36-bargaining_tdl_main-134_1_2;RightPartner;6 to me and 6 to you;17.794.394.764.402.800;
yd5nzig1;12;4uvdbn2v;36-bargaining_tdl_main-134_1_2;RightPartner;i m lefting the chat and i will propose this;17.794.394.957.102.400;
yd5nzig1;12;4uvdbn2v;36-bargaining_tdl_main-134_1_2;RightPartner;don't cheat...;17.794.395.067.877.500;
yd5nzig1;12;4uvdbn2v;36-bargaining_tdl_main-134_1_2;RightPartner;i swear;17.794.395.102.349.500;
ln6s1ftc;37;5mhp2h2j;13-bargaining_tdl_main-76_1_2;RightPartner;ok;17.792.716.460.052.800;
ln6s1ftc;37;5mhp2h2j;13-bargaining_tdl_main-76_2_3;LeftPartner;che vuoi fare?;17.792.716.795.010.000;
ln6s1ftc;52;73thvczv;13-bargaining_tdl_main-70_2_3;RightPartner;Ciao, il Rosso ha abbandonato,  quindi dividiamo solo noi due?;17.792.717.668.279.700;
ln6s1ftc;30;7jq6qxh3;13-bargaining_tdl_main-79_1_2;RightPartner;condivido;17.792.717.336.373.300;
ln6s1ftc;30;7jq6qxh3;13-bargaining_tdl_main-79_2_3;LeftPartner;io direi di dividere equamente;1.779.271.735.640.710;
ln6s1ftc;13;8ot66gl6;13-bargaining_tdl_main-73_1_3;RightPartner;Ciao Blu;17.792.718.423.099.900;
ln6s1ftc;13;8ot66gl6;13-bargaining_tdl_main-73_1_3;RightPartner;ok;17.792.718.967.199.800;
ln6s1ftc;13;8ot66gl6;13-bargaining_tdl_main-73_1_2;LeftPartner;ok;1.779.271.901.148.350;
ln6s1ftc;8;8qxgq3ms;13-bargaining_tdl_main-78_2_3;LeftPartner;sì, dividiamo in parti uguali;17.792.716.913.034.400;
ln6s1ftc;8;8qxgq3ms;13-bargaining_tdl_main-78_1_2;RightPartner;Dividiamo in parti uguali?;17.792.717.250.926.500;
ln6s1ftc;39;8yqnncnw;13-bargaining_tdl_main-78_2_3;RightPartner;Ciao, dividiamo equamente con tutti?;17.792.716.748.429.700;
ln6s1ftc;39;8yqnncnw;13-bargaining_tdl_main-78_1_3;LeftPartner;Ciao, dividiamo equamente con tutti?;17.792.716.904.591.100;
ln6s1ftc;39;8yqnncnw;13-bargaining_tdl_main-78_2_3;RightPartner;Ok;17.792.716.969.883.300;
ln6s1ftc;39;8yqnncnw;13-bargaining_tdl_main-78_1_3;LeftPartner;Il green a me ha risposto e abbiamo deciso di dividere in parti uguali;17.792.718.777.345.900;
ln6s1ftc;39;8yqnncnw;13-bargaining_tdl_main-78_1_3;LeftPartner;Evidentemente il green ha premuto next per errore o ha perso la connessione. Direi di mantenere la parola data e dividere in parti uguali;17.792.719.349.910.500;
ln6s1ftc;39;8yqnncnw;13-bargaining_tdl_main-78_1_3;LeftPartner;Secondo me si;1.779.271.954.983.920;
ln6s1ftc;39;8yqnncnw;13-bargaining_tdl_main-78_1_3;LeftPartner;Ok;17.792.719.734.611.900;
ln6s1ftc;35;9d8bae4j;13-bargaining_tdl_main-80_2_3;RightPartner;Idem;17.792.717.644.688.100;
yd5nzig1;6;9r3ttt9c;36-bargaining_tdl_main-133_1_3;RightPartner;Hello;17.794.390.773.516.700;
yd5nzig1;6;9r3ttt9c;36-bargaining_tdl_main-133_1_3;RightPartner;Are you here ?;1.779.439.081.617.280;
yd5nzig1;6;9r3ttt9c;36-bargaining_tdl_main-133_1_3;RightPartner;What do you want to do ?;17.794.391.088.477.700;
yd5nzig1;6;9r3ttt9c;36-bargaining_tdl_main-133_1_3;RightPartner;Green participant already left;17.794.391.135.445.600;
yd5nzig1;6;9r3ttt9c;36-bargaining_tdl_main-133_1_3;RightPartner;between 2 of us ? ;1.779.439.159.590.870;
yd5nzig1;6;9r3ttt9c;36-bargaining_tdl_main-133_1_3;RightPartner;let's go;17.794.391.674.151.500;
ln6s1ftc;38;a1qq1ocd;13-bargaining_tdl_main-67_1_2;RightPartner;Ciao! il tempo è partito, che ne dici di dividerci tutto equamente tra 3?;17.792.716.364.091.600;
ln6s1ftc;38;a1qq1ocd;13-bargaining_tdl_main-67_2_3;LeftPartner;Ciao! Il tempo è partito, che pensi se ci dividiamo le risorse equamente?;17.792.716.779.584.300;
ln6s1ftc;38;a1qq1ocd;13-bargaining_tdl_main-67_2_3;LeftPartner;tra tutti e tre;17.792.717.183.300.100;
yd5nzig1;5;b6mb3dyb;36-bargaining_tdl_main-134_1_2;LeftPartner;hi maybe we should split just between us?;17.794.392.544.713.000;
yd5nzig1;5;b6mb3dyb;36-bargaining_tdl_main-134_1_3;RightPartner;hi, do you want to split?;17.794.392.620.395.800;
yd5nzig1;5;b6mb3dyb;36-bargaining_tdl_main-134_1_3;RightPartner;or what do you want to do?;17.794.393.401.064.300;
yd5nzig1;5;b6mb3dyb;36-bargaining_tdl_main-134_1_2;LeftPartner;i know hahaha;17.794.394.285.683.600;
yd5nzig1;5;b6mb3dyb;36-bargaining_tdl_main-134_1_2;LeftPartner;lets punish him maybe;17.794.394.460.403.400;
yd5nzig1;5;b6mb3dyb;36-bargaining_tdl_main-134_1_2;LeftPartner;what are you gonna do?;17.794.394.522.801.900;
yd5nzig1;5;b6mb3dyb;36-bargaining_tdl_main-134_1_2;LeftPartner;idk if i can trust you but ok;17.794.395.005.847.400;
ln6s1ftc;12;bab8wqjo;13-bargaining_tdl_main-79_1_3;RightPartner;vorrei dividere con tutti ;177.927.171.943.079;
