Trattamento,Gruppo,Esito_Gruppo,Partecipante,Colore,Ruolo,Segnale_Inviato_SX,Segnale_Inviato_DX,Segnale_Ricevuto_SX,Segnale_Ricevuto_DX,Intenzione,Decisione_Finale,Stima_SX,Confidenza_SX,Stima_DX,Confidenza_DX,Genere,Anno_Nascita,Trust,Beauty_Contest,Payoff
private_no_dwl,2,pending,tfph6f6d,Purple,,split_other,support_none,split_you,split_you,right,Right,,,,,,,,,0.0
private_no_dwl,2,pending,zr1axy36,Orange,,split_you,split_you,split_other,split_other,left,NoOne,,,,,,,,,0.0
private_no_dwl,2,pending,agkaofd4,Yellow,,split_you,split_other,support_none,split_you,left,,,,,,,,,,0.0
private_no_dwl,2,pending,v82mb1l6,Yellow,,split_you,split_other,split_you,split_you,left,Left,Right,8.0,Left,7.0,2.0,1929.0,8.0,2.0,3.0
private_no_dwl,2,pending,916rj59e,Orange,,split_you,split_other,split_other,split_other,,Right,Left,1.0,Left,1.0,,,,,0.0
private_no_dwl,2,pending,1c8niseg,Purple,,split_other,split_you,split_other,split_you,right,Right,Right,7.0,Right,3.0,2.0,1927.0,10.0,1.8,3.0
private_no_dwl,3,disagreement,jtfiygco,Orange,,split_other,split_you,split_other,split_you,right,NoOne,Left,4.0,Right,2.0,2.0,1929.0,9.0,2.0,0.0
private_no_dwl,3,disagreement,msqk2dfp,Purple,,split_you,split_you,split_you,split_you,left,Left,NoOne,3.0,Right,2.0,1.0,1928.0,9.0,1.7,0.0
private_no_dwl,3,disagreement,0sp1r3vj,Yellow,,split_you,split_other,split_you,split_other,left,Left,,,,,,,,,0.0
public,2,disagreement,pizxz9zh,Yellow,,support_none,support_none,split_you,split_other,left,Right,Right,6.0,Left,6.0,1.0,1987.0,5.0,1.3,0.0
public,2,disagreement,qwsd43d3,Orange,,split_other,split_other,support_none,split_you,left,NoOne,Right,5.0,Right,1.0,0.0,1987.0,4.0,1.2,0.0
public,2,disagreement,3or3rkd3,Purple,,split_you,split_you,split_other,support_none,left,Left,Right,6.0,Left,5.0,1.0,1987.0,,1.4,0.0
public,2,disagreement,hq6n467v,Yellow,,split_other,split_you,support_none,split_you,left,Right,NoOne,4.0,Left,6.0,2.0,1927.0,9.0,2.0,3.0
public,2,disagreement,ladsefp8,Orange,,split_you,split_other,split_you,split_other,left,Left,Right,5.0,Left,5.0,2.0,1934.0,9.0,1.8,3.0
public,2,disagreement,qx1ilups,Purple,,split_other,support_none,split_other,split_other,,Left,Left,1.0,NoOne,1.0,,,,,0.0
public,3,mutual_31,mqwgsznm,Orange,,support_none,support_none,split_other,support_none,left,Right,,,,,,,,,0.0
public,3,mutual_31,dppd11s7,Purple,,support_none,split_you,support_none,split_you,right,Right,NoOne,4.0,Left,8.0,2.0,1924.0,10.0,1.7,3.0
public,3,mutual_31,022lsgxg,Yellow,,split_you,split_other,split_you,support_none,left,Left,Left,1.0,Right,3.0,0.0,1928.0,8.0,2.0,3.0
