playerid;participant_code;groupid;inactive;left_player;right_player;part1_signal_left;part1_signal_right;part1_finaldecision;Part3_finaldecision;survey_id_in_group;survey_role;survey_payoff;survey_gender;survey_age;survey_field_of_study;survey_university_years;survey_job_status;survey_willingness_future;survey_willingness_risk;survey_reciprocity_positive;survey_reciprocity_negative;survey_willingness_donate;survey_trust_general;survey_beauty_contest_guess;survey_time_on_page;survey_time_survey_intro;survey_time_survey_questions;survey_time_survey_scale_intro;survey_time_survey_page4;survey_time_survey_page5;survey_time_survey_page6;survey_time_survey_page7;survey_time_survey_page8;survey_time_survey_page9;survey_time_survey_page10;survey_time_final_results
1;opt0r6qy;2;;dx0ls2i4;p3wi5j2i;split_both;split_both;Left;share_both;1;;0.0;0;23;Tech;10;employer;6;7;8;7;7;8;2.0;3.89;0.97;10.06;0.83;1.8;0.94;1.22;0.87;1.16;2.38;3.89;0.0
2;p3wi5j2i;2;;opt0r6qy;dx0ls2i4;split_you;split_other;Right;share_one;2;;0.0;1;34;fedgfd;18;employee;7;8;9;7;8;9;1.4;4.33;2.69;9.07;1.27;3.27;2.01;1.04;1.16;1.28;1.28;4.33;0.0
3;dx0ls2i4;2;;p3wi5j2i;opt0r6qy;split_other;split_other;Both;share_both;3;;0.0;1;34;ferfge;1;employer;7;7;8;7;7;7;1.1;8.28;0.58;10.21;1.19;1.17;1.46;1.53;1.47;1.57;1.04;8.28;0.0
4;a8x78sfj;1;;;;;;;;4;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5;x5in9q99;1;;;;;;;;5;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
6;282lzkhr;1;;;;;;;;6;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;xnrj7ri1;1;;;;;;;;7;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;3m6s75pb;1;;;;;;;;8;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;05m7abc3;1;;;;;;;;9;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;1sskmhno;1;;;;;;;;10;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;l230tqst;1;;;;;;;;11;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12;g79ntp6i;1;;;;;;;;12;;0.0;;;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
