playerid,participant_code,groupid,inactive,left_player,right_player,part1_signal_left,part1_signal_right,part1_finaldecision,Part3_finaldecision,survey_id_in_group,survey_role,survey_payoff,survey_gender,survey_age,survey_field_of_study,survey_university_years,survey_job_status,survey_willingness_future,survey_willingness_risk,survey_reciprocity_positive,survey_reciprocity_negative,survey_willingness_donate,survey_trust_general,survey_beauty_contest_guess,survey_time_on_page,survey_time_survey_intro,survey_time_survey_questions,survey_time_survey_scale_intro,survey_time_survey_page4,survey_time_survey_page5,survey_time_survey_page6,survey_time_survey_page7,survey_time_survey_page8,survey_time_survey_page9,survey_time_survey_page10,survey_time_final_results
1,i5x0cyrn,1,,,,,,,,1,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3iph7cwr,1,,,,,,,,2,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,tenijdil,1,,,,,,,,3,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,l5kb3csg,1,,,,,,,,4,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,n4ysjirt,1,,,,,,,,5,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,f0yudz1f,1,,,,,,,,6,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,94udhtjo,2,,cgkblckg,wy7rg0s3,split_you,split_other,Both,share_both,7,,0.0,0,23,econ,2,employee,8,9,7,6,9,7,55.0,4.17,139.65,22.27,1.03,2.85,1.44,1.04,1.58,1.08,1.26,4.17,0.0
8,wy7rg0s3,2,,94udhtjo,cgkblckg,split_other,split_other,Both,share_one,8,,0.0,0,34,econ,2,employee,8,9,8,9,10,8,3.0,36.45,5.15,21.97,3.01,1.81,1.35,1.22,1.33,1.38,1.85,36.45,0.0
9,cgkblckg,2,,wy7rg0s3,94udhtjo,split_both,split_both,Both,share_one,9,,0.0,2,23,econ,4,employee,9,10,8,10,8,9,3.0,3.31,0.95,13.31,1.15,2.3,1.72,1.11,0.87,1.9,1.51,3.31,0.0
1,1i6iv58t,2,,59r488q8,eidw00zh,split_both,split_both,Both,share_both,1,,0.0,2,34,econ,22,employee,8,9,8,10,8,9,140.0,117.62,1.31,14.38,1.45,1.84,1.12,1.05,0.88,1.28,0.96,117.62,0.0
2,eidw00zh,2,,1i6iv58t,59r488q8,split_both,split_both,Both,share_both,2,,0.0,0,34,econ,33,not_in_labour_force,9,10,8,10,8,10,120.0,133.21,0.95,16.18,1.07,1.91,1.18,1.2,1.34,1.09,0.9,133.21,0.0
3,59r488q8,2,,eidw00zh,1i6iv58t,split_both,split_both,Both,share_one,3,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,y37vb7y3,1,,,,,,,,4,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,nuomg7sp,1,,,,,,,,5,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,btqhauwi,3,,7wj16ro8,tgpypupg,split_both,split_both,Right,share_both,6,,0.0,0,23,econ,2,employee,9,10,9,8,9,7,120.0,6.58,37.46,15.67,6.36,8.77,1.32,1.63,1.41,1.38,1.38,6.58,0.0
7,tgpypupg,3,,btqhauwi,7wj16ro8,split_both,split_both,Left,,7,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,yq16ylht,1,,,,,,,,8,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,7wj16ro8,3,,tgpypupg,btqhauwi,split_both,split_both,Both,,9,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,gzty9e9k,1,,,,,,,,1,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,xeosmoh5,1,,,,,,,,2,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,skln4e2b,1,,,,,,,,3,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,yhjghzsr,1,,,,,,,,4,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,66msni5o,1,,,,,,,,5,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0tsg2xhd,1,,,,,,,,6,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,3umozlct,1,,,,,,,,7,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,i03dcuut,1,,,,,,,,8,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0gtp9knt,1,,,,,,,,9,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ecfld806,1,,,,,,,,1,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,a6ecfphc,1,,,,,,,,2,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,18wp3d53,1,,,,,,,,3,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,e4z23bgn,1,,,,,,,,4,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,iuyj1vd8,1,,,,,,,,5,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,c41buabc,1,,,,,,,,6,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,okibnc50,1,,,,,,,,7,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,cr2tzw12,1,,,,,,,,8,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,32r9lxnw,1,,,,,,,,9,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,ovpnwmcb,2,,g7q4akha,jnkcelh9,split_both,split_both,Both,share_one,1,,0.0,,,,,,,,,,,,,0.65,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,jnkcelh9,2,,ovpnwmcb,g7q4akha,split_both,split_both,Both,share_one,2,,0.0,0,18,econa,22,employee,9,10,9,8,9,8,2.0,10.89,1.78,18.3,1.0,2.03,1.85,1.31,1.16,1.05,1.0,10.89,0.0
3,z1ltfj0i,1,,,,,,,,3,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,46jq2ndc,1,,,,,,,,4,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,g7q4akha,2,,jnkcelh9,ovpnwmcb,split_other,split_other,Both,share_one,5,,0.0,0,23,econ,22,employee,8,9,8,9,10,9,1.3,32.72,13.35,14.95,1.12,1.69,1.62,1.24,0.93,0.89,1.83,32.72,0.0
6,tko9g9dg,1,,,,,,,,6,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,98jnne60,1,,,,,,,,7,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,lj8ll3gr,1,,,,,,,,8,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,ekbs4pbu,1,,,,,,,,9,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,004uob5s,2,,re47i6yv,2g8ikea0,split_you,split_you,Both,share_both,1,,0.0,,,,,,,,,,,,,9.85,9.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2g8ikea0,2,,004uob5s,re47i6yv,split_you,split_you,Right,share_one,2,,0.0,,,,,,,,,,,,,0.71,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,re47i6yv,2,,2g8ikea0,004uob5s,split_you,split_you,Left,share_one,3,,0.0,0,23,Econ,15,employee,9,10,8,10,8,10,1.8,40.37,855.28,49.38,8.01,2.48,2.0,1.21,1.38,1.15,1.44,40.37,0.0
4,grnr1zs2,1,,,,,,,,4,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,myvu6yam,1,,,,,,,,5,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,xve10u7m,1,,,,,,,,6,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,cbit92uz,1,,,,,,,,7,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,zunk5epx,1,,,,,,,,8,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,se0jjclt,1,,,,,,,,9,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,xx5v8f4r,1,1,,,,,,,1,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
