playerid,participant_code,groupid,inactive,inactive_reason,group_dropped,part1_payoff_eligible,left_player,right_player,part1_signal_left,part1_signal_right,part1_finaldecision,part1_payoff,part3_finaldecision,selected_part_for_payment,prolific_id,prolific_study_id,prolific_session_id,survey_gender,survey_age,survey_field_of_study,survey_university_years,survey_job_status,survey_willingness_future,survey_willingness_risk,survey_reciprocity_positive,survey_reciprocity_negative,survey_willingness_donate,survey_trust_general,survey_beauty_contest_guess
1,opt0r6qy,2,,,0,1,dx0ls2i4,p3wi5j2i,split_both,split_both,Left,0.0,share_both,1,,,,0,23,Tech,10,employer,6,7,8,7,7,8,2.0
2,p3wi5j2i,2,,,0,1,opt0r6qy,dx0ls2i4,split_you,split_other,Right,0.0,share_one,1,,,,1,34,fedgfd,18,employee,7,8,9,7,8,9,1.4
3,dx0ls2i4,2,,,0,1,p3wi5j2i,opt0r6qy,split_other,split_other,Both,0.0,share_both,1,,,,1,34,ferfge,1,employer,7,7,8,7,7,7,1.1
4,a8x78sfj,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
5,x5in9q99,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
6,282lzkhr,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
7,xnrj7ri1,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
8,3m6s75pb,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
9,05m7abc3,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
10,1sskmhno,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
11,l230tqst,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
12,g79ntp6i,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
13,skkusurt,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
14,ed8cj1uq,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
15,wx99t99z,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
16,5s01m5b6,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
17,0oc8cog0,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
18,6yal9yc0,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
19,w2p7bj1s,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
20,xp9p3lh5,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
21,pcya5czp,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
1,9sohi2eg,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
2,kbzsf2k1,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
3,qi1pt07x,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
4,2h0fz66r,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
5,5qh9cg1p,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
6,t1ulyd1w,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
7,daeaz4eg,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
8,kuujoj6d,1,,,,,,,,,,0.0,,-1,,,,,,,,,,,,,,,
