participant_code;session_code;gropu_id;group_id;chat_id;player_color;To;body;timestamp;nickname;channel;inactive;left_player_id;left_player_color;right_player_id;right_player_color;part1_signal_left;part1_signal_right;part1_finaldecision;Part3_finaldecision
04u70zp4;ln6s1ftc;10;75;1;Blue;Green;vogliamo dividere a metà?;17.792.717.729.209.300;RightPartner;13-bargaining_tdl_main-75_2_3;0;zq85fk59;Green;1635k3od;Red;split_you;split_both;Right;share_one
04u70zp4;ln6s1ftc;10;75;6;Blue;Green;ok;17.792.718.317.919.400;RightPartner;13-bargaining_tdl_main-75_2_3;0;zq85fk59;Green;1635k3od;Red;split_you;split_both;Right;share_one
04u70zp4;ln6s1ftc;10;75;8;Blue;Red;ok;1.779.271.844.364.430;LeftPartner;13-bargaining_tdl_main-75_1_3;0;zq85fk59;Green;1635k3od;Red;split_you;split_both;Right;share_one
04u70zp4;ln6s1ftc;10;75;10;Blue;Green;ok;17.792.718.643.611.100;RightPartner;13-bargaining_tdl_main-75_2_3;0;zq85fk59;Green;1635k3od;Red;split_you;split_both;Right;share_one
1635k3od;ln6s1ftc;10;75;3;Red;Green;ok;17.792.717.991.100.300;LeftPartner;13-bargaining_tdl_main-75_1_2;0;04u70zp4;Blue;zq85fk59;Green;split_both;split_both;Right;0
1635k3od;ln6s1ftc;10;75;5;Red;Blue;dividiamo in parti uguali?;17.792.718.291.661.900;RightPartner;13-bargaining_tdl_main-75_1_3;0;04u70zp4;Blue;zq85fk59;Green;split_both;split_both;Right;0
1635k3od;ln6s1ftc;10;75;7;Red;Green;dividiamo in parti uguali;17.792.718.377.796.900;LeftPartner;13-bargaining_tdl_main-75_1_2;0;04u70zp4;Blue;zq85fk59;Green;split_both;split_both;Right;0
1iernbcq;ln6s1ftc;2;67;5;Blue;Red;a questo punto sì;17.792.718.581.488.100;LeftPartner;13-bargaining_tdl_main-67_1_3;0;a1qq1ocd;Green;v3691z1i;Red;split_both;split_you;Right;share_both
2d8kclta;ln6s1ftc;15;80;1;Green;Red;desidero dividere in parti uguali con te e il blu;17.792.717.542.793.900;RightPartner;13-bargaining_tdl_main-80_1_2;0;3yhfj8m6;Red;9d8bae4j;Blue;split_you;split_other;Left;share_one
2d8kclta;ln6s1ftc;15;80;2;Green;Blue;desidero dividere in parti uguali con te e il rosso;17.792.717.560.090.500;LeftPartner;13-bargaining_tdl_main-80_2_3;0;3yhfj8m6;Red;9d8bae4j;Blue;split_you;split_other;Left;share_one
2d8kclta;ln6s1ftc;15;80;5;Green;Red;vorrei dividere solo con te perché il blu ha abbandonato;17.792.718.624.631.600;RightPartner;13-bargaining_tdl_main-80_1_2;0;3yhfj8m6;Red;9d8bae4j;Blue;split_you;split_other;Left;share_one
2d8kclta;ln6s1ftc;15;80;7;Green;Red;ottimo, va benissimo;17.792.718.922.531.700;RightPartner;13-bargaining_tdl_main-80_1_2;0;3yhfj8m6;Red;9d8bae4j;Blue;split_you;split_other;Left;share_one
2d8kclta;ln6s1ftc;15;80;9;Green;Red;allora dobbiamo cliccare su next?;1.779.271.958.424.540;RightPartner;13-bargaining_tdl_main-80_1_2;0;3yhfj8m6;Red;9d8bae4j;Blue;split_you;split_other;Left;share_one
2h0fz66r;ocnkhj5c;2;42;5;Blue;Green;ma che dici?;17.791.938.520.551.800;RightPartner;10-bargaining_tdl_main-42_2_3;1;qi1pt07x;Green;kbzsf2k1;Red;split_you;split_other;Left;share_one
2h0fz66r;ocnkhj5c;2;42;6;Blue;Red;Manco io;17.791.938.631.504.700;LeftPartner;10-bargaining_tdl_main-42_1_3;1;qi1pt07x;Green;kbzsf2k1;Red;split_you;split_other;Left;share_one
2h0fz66r;ocnkhj5c;2;42;7;Blue;Green;Dividiamo;17.791.938.772.011.000;RightPartner;10-bargaining_tdl_main-42_2_3;1;qi1pt07x;Green;kbzsf2k1;Red;split_you;split_other;Left;share_one
2s9nar7d;ln6s1ftc;3;68;3;Blue;Green;salve io sono. per condivider;17.792.716.957.488.300;RightPartner;13-bargaining_tdl_main-68_2_3;0;br25c3xd;Green;cw3blg3k;Red;split_both;split_both;Both;share_both
2s9nar7d;ln6s1ftc;3;68;4;Blue;Red;si;17.792.717.022.875.300;LeftPartner;13-bargaining_tdl_main-68_1_3;0;br25c3xd;Green;cw3blg3k;Red;split_both;split_both;Both;share_both
