session_code;group_id;chat_id;From;To;body;timestamp;nickname;participant_code;channel
6vf3sgej;4;1;Red;Blue;we we;17.779.747.226.930.400;RightPartner;1i6iv58t;2-bargaining_tdl_main-4_1_3
6vf3sgej;4;2;Red;Blue;allo;17.779.747.239.738.900;RightPartner;1i6iv58t;2-bargaining_tdl_main-4_1_3
6vf3sgej;4;3;Red;Blue;che famo?;17.779.747.266.129.900;RightPartner;1i6iv58t;2-bargaining_tdl_main-4_1_3
6vf3sgej;4;4;Red;Green;we che vuoi fare?;17.779.747.341.584.000;LeftPartner;1i6iv58t;2-bargaining_tdl_main-4_1_2
6vf3sgej;4;5;Green;Red;facciamo split 50/50?;17.779.747.455.647.100;RightPartner;eidw00zh;2-bargaining_tdl_main-4_1_2
6vf3sgej;4;6;Green;Blue;facciamo una split io e te?;17.779.747.611.688.600;LeftPartner;eidw00zh;2-bargaining_tdl_main-4_2_3
6vf3sgej;4;7;Blue;Green;ma sei fuori?;17.779.747.706.943.200;RightPartner;59r488q8;2-bargaining_tdl_main-4_2_3
6vf3sgej;4;8;Blue;Red;facciamo tutti per tutti va;17.779.747.807.481.000;LeftPartner;59r488q8;2-bargaining_tdl_main-4_1_3
6vf3sgej;5;1;Red;Blue;avavavav;1.777.978.751.326.900;RightPartner;btqhauwi;2-bargaining_tdl_main-5_1_3
6vf3sgej;5;2;Red;Blue;sgshbehehtethn;17.779.787.791.513.200;RightPartner;btqhauwi;2-bargaining_tdl_main-5_1_3
pw1f4pme;2;1;Green;Red;prova;17.779.660.923.500.000;RightPartner;wy7rg0s3;1-bargaining_tdl_main-2_1_2
pw1f4pme;2;2;Green;Red;prova;17.779.660.944.051.100;RightPartner;wy7rg0s3;1-bargaining_tdl_main-2_1_2
pw1f4pme;2;3;Green;Red;sa;1.777.966.095.241.590;RightPartner;wy7rg0s3;1-bargaining_tdl_main-2_1_2
pw1f4pme;2;4;Green;Red;sa;17.779.660.960.742.400;RightPartner;wy7rg0s3;1-bargaining_tdl_main-2_1_2
pw1f4pme;2;5;Green;Blue;prova;17.779.661.049.008.300;LeftPartner;wy7rg0s3;1-bargaining_tdl_main-2_2_3
pw1f4pme;2;6;Green;Blue;sa;17.779.661.076.286.900;LeftPartner;wy7rg0s3;1-bargaining_tdl_main-2_2_3
pw1f4pme;2;7;Green;Blue;sa;1.777.966.108.434.580;LeftPartner;wy7rg0s3;1-bargaining_tdl_main-2_2_3
pw1f4pme;2;8;Green;Blue;sa;17.779.661.092.057.500;LeftPartner;wy7rg0s3;1-bargaining_tdl_main-2_2_3
pw1f4pme;2;9;Green;Blue;sa;17.779.661.104.664.200;LeftPartner;wy7rg0s3;1-bargaining_tdl_main-2_2_3
pw1f4pme;2;10;Red;Green;we;1.777.966.155.263.770;LeftPartner;94udhtjo;1-bargaining_tdl_main-2_1_2
pw1f4pme;2;11;Red;Green;io so il red;1.777.966.158.280.080;LeftPartner;94udhtjo;1-bargaining_tdl_main-2_1_2
pw1f4pme;2;12;Red;Green;prova prova ;17.779.661.618.507.100;LeftPartner;94udhtjo;1-bargaining_tdl_main-2_1_2
pw1f4pme;2;13;Red;Green;sa;17.779.661.634.336.900;LeftPartner;94udhtjo;1-bargaining_tdl_main-2_1_2
pw1f4pme;2;14;Red;Green;sa;1.777.966.165.693.710;LeftPartner;94udhtjo;1-bargaining_tdl_main-2_1_2
pw1f4pme;2;15;Red;Blue;ciao blu, io so er red;17.779.661.760.859.400;RightPartner;94udhtjo;1-bargaining_tdl_main-2_1_3
pw1f4pme;2;16;Red;Blue;che fammo?;1.777.966.178.762.920;RightPartner;94udhtjo;1-bargaining_tdl_main-2_1_3
pw1f4pme;2;17;Red;Blue;dividiamo equalmente?;17.779.661.881.752.600;RightPartner;94udhtjo;1-bargaining_tdl_main-2_1_3
pw1f4pme;2;18;Blue;Green;io so il blu;17.779.661.998.697.900;RightPartner;cgkblckg;1-bargaining_tdl_main-2_2_3
pw1f4pme;2;19;Blue;Green;che famo?;17.779.662.019.487.300;RightPartner;cgkblckg;1-bargaining_tdl_main-2_2_3
pw1f4pme;2;20;Blue;Green;uno split equo ci stai?;17.779.662.095.860.700;RightPartner;cgkblckg;1-bargaining_tdl_main-2_2_3
pw1f4pme;2;21;Blue;Red;facciamo 50/50 e amen dai;17.779.662.240.502.900;LeftPartner;cgkblckg;1-bargaining_tdl_main-2_1_3
pw1f4pme;2;22;Green;Blue;dai si perchè no;17.779.662.381.692.100;LeftPartner;wy7rg0s3;1-bargaining_tdl_main-2_2_3
pw1f4pme;2;23;Green;Blue;tutti prendiamo qualcosa e siamo più contenti;17.779.662.510.739.800;LeftPartner;wy7rg0s3;1-bargaining_tdl_main-2_2_3
splv0pa2;11;1;Red;Blue;Ciao Blu, io sono il Red;17.780.769.294.041.300;RightPartner;004uob5s;6-bargaining_tdl_main-11_1_3
splv0pa2;11;2;Red;Blue;che vuoi fare?;17.780.769.330.211.000;RightPartner;004uob5s;6-bargaining_tdl_main-11_1_3
splv0pa2;11;3;Red;Blue;io sarei per fare 6 a testa e via. andiamo al prossimo gioco;17.780.769.524.067.200;RightPartner;004uob5s;6-bargaining_tdl_main-11_1_3
splv0pa2;11;4;Red;Blue;che ne pensi?;17.780.769.554.837.000;RightPartner;004uob5s;6-bargaining_tdl_main-11_1_3
splv0pa2;11;5;Blue;Red;Ciao red, io sono il blu. Dai si potrebbe fare perchè no;17.780.769.818.622.900;LeftPartner;re47i6yv;6-bargaining_tdl_main-11_1_3
splv0pa2;11;6;Blue;Red;prendiamo 6 a testa e via;17.780.769.909.901.300;LeftPartner;re47i6yv;6-bargaining_tdl_main-11_1_3
splv0pa2;11;7;Blue;Green;we green che dici?;17.780.769.997.119.400;RightPartner;re47i6yv;6-bargaining_tdl_main-11_2_3
splv0pa2;11;8;Blue;Green;vuoi  prendere 2 punti in più del minimo?;1.778.077.011.426.990;RightPartner;re47i6yv;6-bargaining_tdl_main-11_2_3
splv0pa2;11;9;Green;Blue;ciao Blue, si sono il green;17.780.770.263.333.000;LeftPartner;2g8ikea0;6-bargaining_tdl_main-11_2_3
splv0pa2;11;10;Green;Blue;mah ti direi;177.807.703.593.468;LeftPartner;2g8ikea0;6-bargaining_tdl_main-11_2_3
splv0pa2;11;11;Green;Blue;2 in più?;17.780.770.398.438.100;LeftPartner;2g8ikea0;6-bargaining_tdl_main-11_2_3
splv0pa2;11;12;Green;Red;ehi red;1.778.077.045.634.670;RightPartner;2g8ikea0;6-bargaining_tdl_main-11_1_2
splv0pa2;11;13;Green;Red;che vuoi fare?;1.778.077.048.378.810;RightPartner;2g8ikea0;6-bargaining_tdl_main-11_1_2
splv0pa2;11;14;Red;Green;ok ok;17.780.770.539.927;LeftPartner;004uob5s;6-bargaining_tdl_main-11_1_2
y1ycsbji;9;1;Green;Red;we;17.779.915.794.786.600;RightPartner;jnkcelh9;5-bargaining_tdl_main-9_1_2
y1ycsbji;9;2;Green;Red;ew;17.779.915.805.031.300;RightPartner;jnkcelh9;5-bargaining_tdl_main-9_1_2
ydcii5mf;26;1;Blue;Red;sno il blu e ;17.787.690.723.486.500;LeftPartner;nhtas8ou;13-bargaining_tdl_main-26_1_3
ydcii5mf;26;2;Blue;Red;lasciero;17.787.690.760.766.700;LeftPartner;nhtas8ou;13-bargaining_tdl_main-26_1_3
ydcii5mf;26;3;Blue;Red;la chat;17.787.690.786.115.100;LeftPartner;nhtas8ou;13-bargaining_tdl_main-26_1_3
ydcii5mf;26;4;Red;Blue;ok cazzo mene;17.787.691.013.415.300;RightPartner;frsokvko;13-bargaining_tdl_main-26_1_3
ydcii5mf;26;5;Red;Blue;fai quello che credi;1.778.769.107.671.520;RightPartner;frsokvko;13-bargaining_tdl_main-26_1_3
ydcii5mf;26;6;Red;Green;c m fa?;1.778.769.114.797.360;LeftPartner;frsokvko;13-bargaining_tdl_main-26_1_2
ydcii5mf;26;7;Green;Red;c we fa?;1.778.769.130.319.340;RightPartner;vjee2hk6;13-bargaining_tdl_main-26_1_2
ydcii5mf;26;8;Green;Blue;che ti fraga a te?;17.787.691.379.922.200;LeftPartner;vjee2hk6;13-bargaining_tdl_main-26_2_3
ydcii5mf;26;9;Blue;Green;io lascio appena scade;17.787.691.462.922.000;RightPartner;nhtas8ou;13-bargaining_tdl_main-26_2_3
