participant.id_in_session,participant.code,participant.label,participant._index_in_pages,participant.payoff,participant.inactive_excluded,participant.inactive_excluded_reason,participant.group_dropped,participant.part1_payoff_eligible,participant.group_outcome,participant.part1_group_id,session.code,bargaining_tdl_intro.1.player.time_welcome,bargaining_tdl_intro.1.player.time_instructions_part1,bargaining_tdl_intro.1.player.time_control_questions,bargaining_tdl_main.1.player.id_in_group,bargaining_tdl_main.1.player.payoff,bargaining_tdl_main.1.player.player_color,bargaining_tdl_main.1.player.treatment,bargaining_tdl_main.1.player.part1_calculated_payoff,bargaining_tdl_main.1.player.signal_left,bargaining_tdl_main.1.player.signal_right,bargaining_tdl_main.1.player.first_intention_selected,bargaining_tdl_main.1.player.guess_left_confidence,bargaining_tdl_main.1.player.guess_right_confidence,bargaining_tdl_main.1.player.time_welcome,bargaining_tdl_main.1.player.time_chat,bargaining_tdl_main.1.player.time_signals,bargaining_tdl_main.1.player.decision_choice,bargaining_tdl_main.1.player.decision_option_1,bargaining_tdl_main.1.player.decision_option_2,bargaining_tdl_main.1.player.decision_option_3,bargaining_tdl_main.1.player.received_signal_left,bargaining_tdl_main.1.player.received_signal_right,bargaining_tdl_main.1.player.id_player_on_the_left,bargaining_tdl_main.1.player.id_player_on_the_right,bargaining_tdl_main.1.player.id_player_visualized_on_the_left,bargaining_tdl_main.1.player.id_player_visualized_on_the_right,bargaining_tdl_main.1.player.time_decision,bargaining_tdl_main.1.player.time_post_decision_confidence,bargaining_tdl_main.1.player.chat_interrupted,bargaining_tdl_main.1.player.part1_payoff_eligible,bargaining_tdl_main.1.player.decision_inactive,bargaining_tdl_main.1.player.signal_inactive,bargaining_tdl_main.1.player.received_signal_left_inactive,bargaining_tdl_main.1.player.received_signal_right_inactive,bargaining_tdl_main.1.player.guess_left_choice,bargaining_tdl_main.1.player.guess_right_choice,bargaining_tdl_main.1.group.id_in_subsession,bargaining_tdl_main.1.group.grp_coordinate,bargaining_tdl_main.1.group.group_outcome,bargaining_tdl_main.1.group.chat_left_p1,bargaining_tdl_main.1.group.chat_left_p2,bargaining_tdl_main.1.group.chat_left_p3,bargaining_tdl_main.1.group.group_dropped,bargaining_tdl_survey.1.player.gender,bargaining_tdl_survey.1.player.birth_year,bargaining_tdl_survey.1.player.field_of_study,bargaining_tdl_survey.1.player.university_years,bargaining_tdl_survey.1.player.main_situation,bargaining_tdl_survey.1.player.job_type,bargaining_tdl_survey.1.player.sd3_mach_01,bargaining_tdl_survey.1.player.sd3_mach_02,bargaining_tdl_survey.1.player.sd3_mach_03,bargaining_tdl_survey.1.player.sd3_mach_04,bargaining_tdl_survey.1.player.sd3_mach_05,bargaining_tdl_survey.1.player.sd3_mach_06,bargaining_tdl_survey.1.player.sd3_mach_07,bargaining_tdl_survey.1.player.sd3_mach_08,bargaining_tdl_survey.1.player.sd3_mach_09,bargaining_tdl_survey.1.player.sd3_narc_01,bargaining_tdl_survey.1.player.sd3_narc_02,bargaining_tdl_survey.1.player.sd3_narc_03,bargaining_tdl_survey.1.player.sd3_narc_04,bargaining_tdl_survey.1.player.sd3_narc_05,bargaining_tdl_survey.1.player.sd3_narc_06,bargaining_tdl_survey.1.player.sd3_narc_07,bargaining_tdl_survey.1.player.sd3_narc_08,bargaining_tdl_survey.1.player.sd3_narc_09,bargaining_tdl_survey.1.player.sd3_psych_01,bargaining_tdl_survey.1.player.sd3_psych_02,bargaining_tdl_survey.1.player.sd3_psych_03,bargaining_tdl_survey.1.player.sd3_psych_04,bargaining_tdl_survey.1.player.sd3_psych_05,bargaining_tdl_survey.1.player.sd3_psych_06,bargaining_tdl_survey.1.player.sd3_psych_07,bargaining_tdl_survey.1.player.sd3_psych_08,bargaining_tdl_survey.1.player.sd3_psych_09,bargaining_tdl_survey.1.player.willingness_future,bargaining_tdl_survey.1.player.willingness_risk,bargaining_tdl_survey.1.player.reciprocity_positive,bargaining_tdl_survey.1.player.reciprocity_negative,bargaining_tdl_survey.1.player.willingness_donate,bargaining_tdl_survey.1.player.trust_general,bargaining_tdl_survey.1.player.beauty_contest_guess,bargaining_tdl_survey.1.player.instructions_clarity,bargaining_tdl_survey.1.player.general_comment,bargaining_tdl_survey.1.player.time_survey_questions,bargaining_tdl_survey.1.player.time_survey_sd3_mach,bargaining_tdl_survey.1.player.time_survey_sd3_narc,bargaining_tdl_survey.1.player.time_survey_sd3_psych,bargaining_tdl_survey.1.player.time_survey_page4,bargaining_tdl_survey.1.player.time_survey_page10,bargaining_tdl_survey.1.player.time_survey_feedback,focal_player_id,focal_player_color,decision_target_id,decision_target_color,guess_left_target_id,guess_left_target_color,guess_right_target_id,guess_right_target_color,signal_left_target_id,signal_left_target_color,signal_right_target_id,signal_right_target_color,received_signal_left_target_id,received_signal_left_target_color,received_signal_right_target_id,received_signal_right_target_color,chat_side,partner_id,partner_color,chat_group_key,chat_status,chat_channel,chat_message_count,chat_message_count_focal_sent,chat_message_count_partner_sent,chat_first_timestamp,chat_last_timestamp,chat_transcript
1,j25s54d6,,9,0.0,,,,,,,5p1s6pop,203.53,2.66,11.79,1,0.0,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0,1,0,0,0,0,,,7,0,pending,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Yellow,,,,,,,,,,,,,,,left,3,Purple,5p1s6pop|7,no_messages,,0,0,0,,,[]
1,j25s54d6,,9,0.0,,,,,,,5p1s6pop,203.53,2.66,11.79,1,0.0,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0,1,0,0,0,0,,,7,0,pending,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Yellow,,,,,,,,,,,,,,,right,2,Orange,5p1s6pop|7,no_messages,,0,0,0,,,[]
2,tnsaol6b,,9,0.0,,,,,,,5p1s6pop,223.05,2.28,22.14,2,0.0,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0,1,0,0,0,0,,,7,0,pending,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Orange,,,,,,,,,,,,,,,left,1,Yellow,5p1s6pop|7,no_messages,,0,0,0,,,[]
2,tnsaol6b,,9,0.0,,,,,,,5p1s6pop,223.05,2.28,22.14,2,0.0,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0,1,0,0,0,0,,,7,0,pending,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Orange,,,,,,,,,,,,,,,right,3,Purple,5p1s6pop|7,no_messages,,0,0,0,,,[]
3,55gz5t1y,,9,0.0,,,,,,,5p1s6pop,249.98,2.33,13.41,3,0.0,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0,1,0,0,0,0,,,7,0,pending,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Purple,,,,,,,,,,,,,,,left,2,Orange,5p1s6pop|7,no_messages,,0,0,0,,,[]
3,55gz5t1y,,9,0.0,,,,,,,5p1s6pop,249.98,2.33,13.41,3,0.0,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0,1,0,0,0,0,,,7,0,pending,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Purple,,,,,,,,,,,,,,,right,1,Yellow,5p1s6pop|7,no_messages,,0,0,0,,,[]
4,wnxur5op,,9,0.0,,,,,,,5p1s6pop,115.53,65.92,11.94,1,0.0,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0,1,0,0,0,0,,,9,0,pending,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Yellow,,,,,,,,,,,,,,,left,3,Purple,5p1s6pop|9,no_messages,,0,0,0,,,[]
4,wnxur5op,,9,0.0,,,,,,,5p1s6pop,115.53,65.92,11.94,1,0.0,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0,1,0,0,0,0,,,9,0,pending,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Yellow,,,,,,,,,,,,,,,right,2,Orange,5p1s6pop|9,no_messages,,0,0,0,,,[]
5,qtgoa1ii,,9,0.0,,,,,,,5p1s6pop,70.15,8.17,27.95,2,0.0,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0,1,0,0,0,0,,,9,0,pending,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Orange,,,,,,,,,,,,,,,left,1,Yellow,5p1s6pop|9,no_messages,,0,0,0,,,[]
5,qtgoa1ii,,9,0.0,,,,,,,5p1s6pop,70.15,8.17,27.95,2,0.0,,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0,1,0,0,0,0,,,9,0,pending,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Orange,,,,,,,,,,,,,,,right,3,Purple,5p1s6pop|9,no_messages,,0,0,0,,,[]
