session_code,id_in_session,participant_code,channel,nickname,body,timestamp
m7p1o3h8,2,0ies6b63,2-bargaining_tdl_main-11_2_3,RightPartner,orange chatta con purple a sx,1787515852.565567
m7p1o3h8,2,0ies6b63,2-bargaining_tdl_main-11_1_2,LeftPartner,orange chatta con yellow a destra,1787515862.5186257
m7p1o3h8,1,pvyf0zut,2-bargaining_tdl_main-11_1_2,RightPartner,yellow ha orange a sx,1787515889.0468805
m7p1o3h8,1,pvyf0zut,2-bargaining_tdl_main-11_1_3,LeftPartner,yellow ha purple a dx,1787515904.5003247
m7p1o3h8,3,xdev4epy,2-bargaining_tdl_main-11_1_3,RightPartner,prplue ha yellow a sx,1787515915.1410723
m7p1o3h8,3,xdev4epy,2-bargaining_tdl_main-11_2_3,LeftPartner,purple ha orange a dx,1787515926.4013371
y9ga0gir,2,21kj71fv,3-bargaining_tdl_main-13_1_2,LeftPartner,orange chatta con yellow a sx,1787516847.9159846
y9ga0gir,2,21kj71fv,3-bargaining_tdl_main-13_2_3,RightPartner,orange chatta con purple a dx,1787516858.2772393
y9ga0gir,3,dzykmc69,3-bargaining_tdl_main-13_2_3,LeftPartner,purple chatta con orange a sx,1787516870.025338
y9ga0gir,3,dzykmc69,3-bargaining_tdl_main-13_1_3,RightPartner,purple chatta con yellow a dx,1787516879.1877716
y9ga0gir,1,e2ymy3si,3-bargaining_tdl_main-13_1_2,RightPartner,yellow chatta con orrange a sx,1787516891.1174407
y9ga0gir,1,e2ymy3si,3-bargaining_tdl_main-13_1_3,LeftPartner,yellow chatta con purple a dx,1787516904.9978926
y4bdktc9,1,t5lmf7vf,4-bargaining_tdl_main-15_1_3,LeftPartner,ahshnhhhshsh yellow parla con purple  a sx,1787517351.994574
y4bdktc9,1,t5lmf7vf,4-bargaining_tdl_main-15_1_2,RightPartner,yellow parla con orange a dx,1787517360.8270912
y4bdktc9,2,h6sphzvs,4-bargaining_tdl_main-15_2_3,RightPartner,orange parlaa con puple a sx,1787517374.473085
y4bdktc9,2,h6sphzvs,4-bargaining_tdl_main-15_1_2,LeftPartner,orange parla con yellow a dx,1787517390.4324052
y4bdktc9,3,eca5lpiz,4-bargaining_tdl_main-15_2_3,LeftPartner,Purple parla con Orange a sx,1787517405.7748716
y4bdktc9,3,eca5lpiz,4-bargaining_tdl_main-15_1_3,RightPartner,Purple parla con yellow a dx,1787517418.8436854
7k6rrk1t,1,bq7v8spd,10-bargaining_tdl_main-22_1_3,LeftPartner,sgsrhsrhshshshsh,1787557952.6507006
7k6rrk1t,1,bq7v8spd,10-bargaining_tdl_main-22_1_2,RightPartner,srhsrhsagaeg,1787557956.2661934
7k6rrk1t,2,y74997tg,10-bargaining_tdl_main-22_2_3,RightPartner,shsrhshh,1787557960.3197055
7k6rrk1t,2,y74997tg,10-bargaining_tdl_main-22_1_2,LeftPartner,djshshshshr,1787557963.361831
